DisciplineName,count,Direction
BIM-технологии в архитектурно-строительном проектировании,72,Строительство / Архитектура
Smart-технологии в телекоммуникационных сетях и системах,5,Электроника и телеком
Smart-технологии в устройствах и системах отображения информации,11,Другое
Succeeding as a Global Wildcat,8,Другое
Succeeding as a Global Wildcat 2,7,Другое
WEB-программирование,95,IT / Программирование
Writing Studio,6,Другое
ІТ-технологии в научных исследованиях,31,Другое
Автоматизация сварочных процессов,2,Машиностроение
Автоматизация электроэнергетических систем,22,Электроника и телеком
Автоматизированные системы на транспорте,76,Другое
Автоматические системы контроля и учета электроэнергии,17,Электроника и телеком
Автоматическое регулирование,146,Другое
Автомобильные эксплуатационные материалы,1,Транспорт
Аддитивные технологии 3D принтинга,5,Другое
Академическое письмо,15,Другое
Аккредитация и обеспечение качества испытательных лабораторий,19,Измерения / Метрология / Качество
Алгоритмы и структуры данных,314,IT / Программирование
Анализ временных рядов,24,Другое
Анализ данных,100,Data / AI
Анализ и моделирование сложных систем,24,Математика / Физика
Анализ технологий и технических средств защиты информации в телекоммуникациях,3,Электроника и телеком
Аналоговые и цифровые измерительные устройства,38,Другое
Аналоговые и цифровые электронные устройства,47,Электроника и телеком
Английский язык,149,Языки
Английский язык (A1),109,Языки
Английский язык (A2),30,Языки
Английский язык (B1),2,Языки
Английский язык (B2),1,Языки
Антенно-фидерные устройства,85,Электроника и телеком
Архитектура гражданских зданий,345,Строительство / Архитектура
Архитектура компьютера,270,Строительство / Архитектура
Архитектура компьютерных систем,145,IT / Программирование
Архитектура промышленных зданий,185,Строительство / Архитектура
Архитектура промышленных и гражданских зданий,51,Строительство / Архитектура
Архитектура распределенных приложений,15,Строительство / Архитектура
Архитектурная акустика и светотехника,10,Строительство / Архитектура
Архитектурная колористика,33,Строительство / Архитектура
Базы данных,280,IT / Программирование
Безопасность компьютерных сетей,28,IT / Программирование
Беспроводные сети и передача информации,1,Другое
Вагонное хозяйство,14,Транспорт
Введение в веб-дизайн и разработку,228,IT / Программирование
Введение в информационные системы,249,IT / Программирование
Введение в профессиональную деятельность,864,Другое
Введение в специальность,1,Другое
Введение в электронику и телекоммуникации,50,Электроника и телеком
Веб-аналитика и цифровой маркетинг,18,IT / Программирование
Векторная математика,42,Математика / Физика
Высшая математика,299,Математика / Физика
Вычислительная математика,31,Математика / Физика
Геодезия,202,Строительство / Архитектура
Геотехника 1,27,Строительство / Архитектура
Геотехника 2,54,Строительство / Архитектура
Гидравлика и гидропневмопривод,1,Другое
Гидравлика на транспорте,80,Другое
Гидро- и пневмосистемы в машиностроении,65,Машиностроение
Глобальные навигационные спутниковые системы,69,Другое
Государственный экзамен по специальности,1,Другое
Графика по специальности,44,Дизайн / Искусство
Графическая перспектива,51,Другое
Графические средства информационных систем,231,IT / Программирование
Дальние электропередачи СВН,2,Электроника и телеком
Датчики технологических процессов,162,Другое
Декоративно-прикладное искусство в интерьере,10,Другое
Деловой казахский язык,25,Языки
Детали и узлы приборов,18,Другое
Детали машин,65,Машиностроение
Детали машин и основы конструирования,14,Машиностроение
Дизайн телевизионной среды,33,Дизайн / Искусство
Динамика вагонов,7,Транспорт
Динамика транспортной техники,80,Транспорт
Дискретная математика,28,Математика / Физика
Дифференциальные уравнения,28,Математика / Физика
Железобетонные и каменные конструкции,104,Строительство / Архитектура
Железобетонные конструкции,272,Строительство / Архитектура
Живопись 1,84,Дизайн / Искусство
Живопись 2,53,Дизайн / Искусство
Живопись 3,51,Дизайн / Искусство
Защита  информации,80,Другое
Защита дипломной работы (проекта),1,Другое
Защита и скрытность информации,40,Другое
Индивидуальная профессиональная подготовка,1,Другое
Инженерная геология,209,Другое
Инженерная графика,148,Дизайн / Искусство
Инженерная графика в промышленности,160,Дизайн / Искусство
Инженерная механика 1,83,Другое
Инженерная механика 2,45,Другое
Инженерные системы зданий и сооружений,214,Строительство / Архитектура
Инновационное проектирование в информационных технологиях,5,IT / Программирование
Инновационное управление качеством услуг и процессов,1,Экономика / Менеджмент
Инновационные технологии обучения технических наук в высшей школе,34,Другое
Инновационные технологии транспортной отрасли,3,Транспорт
"Инновационный менеджмент в стандартизации, сертификации и метрологии",7,Измерения / Метрология / Качество
Иностранный язык,1222,Языки
Иностранный язык (A0),62,Языки
Иностранный язык (A1),848,Языки
Иностранный язык (A2),115,Языки
Иностранный язык (B1),33,Языки
Иностранный язык (B2),10,Языки
Иностранный язык (профессиональный),135,Языки
Инструментальная среда разработки приложений,13,Другое
Инструментальные средства разработки программ,90,Другое
Интегральная и микропроцессорная схемотехника,42,Электроника и телеком
Интеллектуализация измерительной техники,6,Другое
Интеллектуальные измерительные системы,36,Другое
Интеллектуальные информационно-измерительные технологии,5,Data / AI
Интеллектуальные информационные системы,14,Data / AI
Интеллектуальные системы и автоматизированное принятие решений,5,Data / AI
Интеллектуальные системы управления и обработки информации,1,Data / AI
Интеллектуальные средства измерений,18,Измерения / Метрология / Качество
Интеллектуальный анализ данных и их обнаружение,18,Data / AI
Интерфейсная разработка,100,IT / Программирование
Информационная безопасность,144,IT / Программирование
Информационно-измерительная техника,135,IT / Программирование
Информационно-измерительные системы и комплексы в промышленности,23,IT / Программирование
Информационно-коммуникационные технологии,700,IT / Программирование
Информационно-коммуникационные технологии (на английском языке),554,IT / Программирование
Информационные технологии в транспорте и транспортной технике,7,IT / Программирование
Информационные устройства робототехнических систем,12,IT / Программирование
Искусственный интеллект,10,Data / AI
Использование BIM-технологий в жилищно-коммунальном хозяйстве,21,Строительство / Архитектура
"Испытание, контроль и безопасность продукции",22,Измерения / Метрология / Качество
Исследовательская практика,19,Другое
