DisciplineName,count
BIM-технологии в архитектурно-строительном проектировании,72
Smart-технологии в телекоммуникационных сетях и системах,5
Smart-технологии в устройствах и системах отображения информации,11
Succeeding as a Global Wildcat,8
Succeeding as a Global Wildcat 2,7
WEB-программирование,95
Writing Studio,6
ІТ-технологии в научных исследованиях,31
Автоматизация сварочных процессов,2
Автоматизация электроэнергетических систем,22
Автоматизированные системы на транспорте,76
Автоматические системы контроля и учета электроэнергии,17
Автоматическое регулирование,146
Автомобильные эксплуатационные материалы,1
Аддитивные технологии 3D принтинга,5
Академическое письмо,15
Аккредитация и обеспечение качества испытательных лабораторий,19
Алгоритмы и структуры данных,314
Анализ временных рядов,24
Анализ данных,100
Анализ и моделирование сложных систем,24
Анализ технологий и технических средств защиты информации в телекоммуникациях,3
Аналоговые и цифровые измерительные устройства,38
Аналоговые и цифровые электронные устройства,47
Английский язык,149
Английский язык (A1),109
Английский язык (A2),30
Английский язык (B1),2
Английский язык (B2),1
Антенно-фидерные устройства,85
Архитектура гражданских зданий,345
Архитектура компьютера,270
Архитектура компьютерных систем,145
Архитектура промышленных зданий,185
Архитектура промышленных и гражданских зданий,51
Архитектура распределенных приложений,15
Архитектурная акустика и светотехника,10
Архитектурная колористика,33
Базы данных,280
Безопасность компьютерных сетей,28
Беспроводные сети и передача информации,1
Вагонное хозяйство,14
Введение в веб-дизайн и разработку,228
Введение в информационные системы,249
Введение в профессиональную деятельность,864
Введение в специальность,1
Введение в электронику и телекоммуникации,50
Веб-аналитика и цифровой маркетинг,18
Векторная математика,42
Высшая математика,299
Вычислительная математика,31
Геодезия,202
Геотехника 1,27
Геотехника 2,54
Гидравлика и гидропневмопривод,1
Гидравлика на транспорте,80
Гидро- и пневмосистемы в машиностроении,65
Глобальные навигационные спутниковые системы,69
Государственный экзамен по специальности,1
Графика по специальности,44
Графическая перспектива,51
Графические средства информационных систем,231
Дальние электропередачи СВН,2
Датчики технологических процессов,162
Декоративно-прикладное искусство в интерьере,10
Деловой казахский язык,25
Детали и узлы приборов,18
Детали машин,65
Детали машин и основы конструирования,14
Дизайн телевизионной среды,33
Динамика вагонов,7
Динамика транспортной техники,80
Дискретная математика,28
Дифференциальные уравнения,28
Железобетонные и каменные конструкции,104
Железобетонные конструкции,272
Живопись 1,84
Живопись 2,53
Живопись 3,51
Защита  информации,80
Защита дипломной работы (проекта),1
Защита и скрытность информации,40
Индивидуальная профессиональная подготовка,1
Инженерная геология,209
Инженерная графика,148
Инженерная графика в промышленности,160
Инженерная механика 1,83
Инженерная механика 2,45
Инженерные системы зданий и сооружений,214
Инновационное проектирование в информационных технологиях,5
Инновационное управление качеством услуг и процессов,1
Инновационные технологии обучения технических наук в высшей школе,34
Инновационные технологии транспортной отрасли,3
"Инновационный менеджмент в стандартизации, сертификации и метрологии",7
Иностранный язык,1222
Иностранный язык (A0),62
Иностранный язык (A1),848
Иностранный язык (A2),115
Иностранный язык (B1),33
Иностранный язык (B2),10
Иностранный язык (профессиональный),135
Инструментальная среда разработки приложений,13
Инструментальные средства разработки программ,90
Интегральная и микропроцессорная схемотехника,42
Интеллектуализация измерительной техники,6
Интеллектуальные измерительные системы,36
Интеллектуальные информационно-измерительные технологии,5
Интеллектуальные информационные системы,14
Интеллектуальные системы и автоматизированное принятие решений,5
Интеллектуальные системы управления и обработки информации,1
Интеллектуальные средства измерений,18
Интеллектуальный анализ данных и их обнаружение,18
Интерфейсная разработка,100
Информационная безопасность,144
Информационно-измерительная техника,135
Информационно-измерительные системы и комплексы в промышленности,23
Информационно-коммуникационные технологии,700
Информационно-коммуникационные технологии (на английском языке),554
Информационные технологии в транспорте и транспортной технике,7
Информационные устройства робототехнических систем,12
Искусственный интеллект,10
Использование BIM-технологий в жилищно-коммунальном хозяйстве,21
"Испытание, контроль и безопасность продукции",22
Исследовательская практика,19
Исследовательская практика 1,85
Исследовательская практика 2,82
История Казахстана,897
История и проблемы современной информатики и вычислительной техники,4
История и философия науки,89
История искусств,87
История стилей,46
Источники питания для сварки и сварочные материалы,1
Казахский язык,1246
Казахский язык (A0),4
Казахский язык (A1),254
Казахский язык (A2),257
Казахский язык (B1),83
Казахский язык (B2),110
Казахский язык (C1),2
Квалиметрия,22
Книжная графика и иллюстрация,24
Композиция II (по профилю),11
Композиция прикладного искусства,30
Компьютерная архитектура и операционные системы,228
Компьютерная графика,116
Компьютерная математика,566
Компьютерное зрение в системах реального времени,2
Компьютерное моделирование,342
Компьютерное моделирование вычислительных систем,2
Компьютерное моделирование информационных систем,92
Компьютерные программы для проектирования объектов в машиностроении,61
Компьютерные программы и аддитивные технологии 3D принтинга,27
Компьютерные сети,270
Компьютерные технологии и автоматизированные системы поддержки инженерных решений в машиностроении,2
Кондиционирование воздуха в вагонах,16
Конструкторско-технологическое обеспечение машиностроительного производства на базе CAD-CAM-CAE-систем,30
Конструкции из дерева и пластмасс,397
"Конструкционные материалы и проектирование, производство заготовок",19
Конструкционные материалы и производство заготовок,6
Конструкционные материалы и термообработка,29
Конструкция вагонов и SMART системы,16
Контроль и диагностика радиоэлектронных устройств и систем,1
Контроль и диагностика электроэнергетических систем,2
Контроль качества сварных соединений,1
Корпоративные информационные системы,18
Критическое и креативное мышление,477
Культура и этика академического письма,109
Культурология,1
Лидерство и управление инновациями,298
Лидерство и управление инновациями 2,291
Литейные сплавы и плавка,1
Манаштану,922
Математика,915
Математика 1,17
Математика 2,313
Математика 3,228
Математические основы моделирования,4
Математическое и компьютерное моделирование в информационных системах,2
"Математическое и компьютерное моделирование в радиотехнике, электронике и телекоммуникациях",1
Математическое и компьютерное моделирование в энергетике,2
Материаловедение в дизайне,83
Машинная графика,40
Менеджмент,46
Менеджмент научных исследований,22
Металлические конструкции,324
Металлические конструкции 2,24
Металлорежущие станки,2
Методика преподавания технических дисциплин в высшей школе,34
Методология и методы научных исследований,7
Методология научных исследований в машиностроении,20
Методология научных исследований в области технического регулирования и метрологии,6
Методы и средства измерений в телекоммуникациях,2
"Методы и средства измерений, испытаний и контроля в промышленности",13
Методы контроля и диагностики в метрологической деятельности,5
Методы моделирования технологических процессов в машиностроении,3
Методы научных исследований,593
Методы поиска новых технических решений,21
Методы принятия управленческих решений,1
Метрологическая экспертиза технической документации,13
Метрологическое обеспечение производства,24
Метрология,19
Метрология и радиоизмерения,43
Метрология программного обеспечения,53
Механизация и автоматизация погрузочно-разгрузочных работ на железнодорожном транспорте,8
Механизмы преобразования и передачи энергии в металлорежущих станках,5
Механика,7
Механика грунтов. Основания и фундаменты,324
Мехатроника и робототехника,43
Мехатронные системы рекупиротивного действия,2
Микроконтроллеры и микропроцессоры,99
Многоканальные телекоммуникационные системы,95
Мобильные технологии и приложения,112
Модели и методы интеллектуального анализа данных,25
Модели и методы обработки знаний в интеллектуальных системах,6
Моделирование архитектуры программного обеспечения,13
Моделирование бизнес-процессов,155
Моделирование и исследование свойств строительных материалов,24
Моделирование и прототипирование сложных пространственных объектов,28
Моделирование прикладных задач,34
Моделирование радиотехнических систем,126
Моделирование случайных процессов,20
Модуль социально-политических знаний,299
"Модуль социально-политических знаний (социология, политология, культурология, психология)",1070
"Монтаж, наладка и эксплуатация приборов и систем",4
"Монтаж, наладка приборов и систем",7
Надежность компьютерных систем,7
Надежность транспортной техники,23
Надежность электроэнергетических систем,8
Написание и защита дипломного проекта,818
Написание и защита дипломного проекта/Подготовка и сдача комплексного экзамена,1
"Написание и защита дипломной работы, дипломного проекта или подготовка и сдача комплексного экзамена",79
Написание и защита докторской диссертации,1
Наука как особая форма человеческой деятельности,1
Научно-исследовательская работа,403
"Научно-исследовательская работа докторанта, включая выполнение докторской диссертации",6
"Научно-технические проблемы радиотехники, электроники и телекоммуникаций",6
Научно-технические проблемы электроэнергетики,10
Научные основы моделирования в инфокоммуникационных системах,1
Научные основы разработки документации для аккредитации испытательных лабораторий,1
Неразрушающий контроль в технических системах,2
Нетрадиционные и возобновляемые источники энергии,118
Нормирование точности в метрологии,15
Обеспечение качества сертификации промышленной продукции,23
Общая и неорганическая химия,40
Общая теория измерений,20
Объектно-ориентированное программирование,238
Операционные системы,192
Организация автомобильных перевозок,78
Организация вычислительных систем и сетей,41
Организация делопроизводства на государственном языке,1
Организация и безопасность дорожного движения,78
Организация и планирование научной деятельности,1
Организация строительного производства,344
Основы САПР,1
Основы автоматизированного проектирования,17
Основы автоматизированного проектирования в сварке,1
Основы академического письма,801
Основы архитектурного черчения,18
Основы безопасности жизнедеятельности,22
Основы взаимозаменяемости,51
Основы инженерного творчества,36
Основы информационно-измерительных технологий,32
Основы информационных систем,327
Основы искусственного интеллекта,13
Основы композиции,142
Основы компьютерных сетей,95
Основы конструирования и детали машин,71
Основы конструирования и технологии производства радиокомпонентов,45
Основы конструкции автомобилей,47
Основы материаловедения,54
Основы нанотехнологий,141
Основы научных исследований,12
Основы организации научных исследований и инновационной деятельности,2
Основы права и антикоррупционной культуры,232
Основы права и правового регулирования,8
Основы проектирования технологического оборудования,79
Основы робототехнических систем,10
Основы сетевых технологий,74
Основы систем автоматизированного проектирования,87
Основы телевидения и видеотехники,113
Основы технического регулирования,10
Основы технической механики,67
Основы технической эксплуатации транспортной техники,66
Основы технологии машиностроения,1
Основы технологии машиностроения и методы размерного анализа,58
Основы технологии обслуживания транспортной техники,10
Основы технологии производства и ремонта транспортной техники,124
Основы управления качеством,1
Основы управления качеством в машиностроении,36
"Основы экономики, предпринимательства и финансовой грамотности",192
Основы электроники,45
Основы электронной и измерительной техники,98
Особенности размерного анализа технологических процессов сварки,1
Оформление и защита магистерского проекта,41
Оформление и защита магистерской диссертации,68
Охрана труда,290
Охрана труда и безопасность жизнедеятельности,1
Охрана труда и промышленная безопасность,45
Охрана труда и техника безопасности в строительстве,55
Параллельные вычисления,7
Патентные исследования на различных этапах создания и освоения объектов техники,1
Патентоведение,1
Педагогика высшей школы,71
Педагогическая практика,114
Передача и распределение электроэнергии,112
Переходные процессы в электроэнергетических системах,130
"Планирование и постановка экспериментов, обработка результатов исследования",17
Планирование на электроэнергетических предприятиях,1
"Поверка, безопасность и надежность информационно-измерительных систем",34
Подготовка и сдача комплексного экзамена,10
Подъемно-транспортное оборудование,1
Политология,1
Получисленные алгоритмы,224
Правила дорожного движения,81
Практикум по иностранному языку 1,234
Практикум по иностранному языку 2,3
Практикум по иностранному языку 2 (A2),74
Практикум по иностранному языку 2 (B1),17
Преддипломная практика,1009
Приборы и методы исследований,45
Прикладная визуализация данных,98
Принципы инженерного творчества,1
"Проблемы информатики, вычислительной техники и управления",2
Программирование для инженерных приложений,12
Программирование для инженерных приложений (Python),28
Программирование для инженерных приложений (Основы С),42
Программирование маркетинговых инструментов для digital-продвижения,15
Программная инженерия,90
Программное сопровождение систем дистанционного управления объектами,11
Программные средства информационных систем,31
Проектирование WEB-приложений,62
Проектирование и дизайн пользовательских интерфейсов,7
Проектирование и оптимизация конструкций машин и оборудования,22
Проектирование и производство заготовок,26
Проектирование и производство металлорежущего инструмента,67
Проектирование и производство режущего инструмента,5
Проектирование инженерных систем зданий и сооружений с использованием BIM-технологий,14
Проектирование интернет-приложений,4
Проектирование информационных систем,87
Проектирование информационных систем и сервисов,94
Проектирование компьютерных систем,7
Проектирование надежных компьютерных систем,153
Проектирование объектов архитектурного дизайна 1,52
Проектирование объектов архитектурного дизайна 2,42
Проектирование объектов архитектурного дизайна 3,42
Проектирование объектов архитектурного дизайна 4,28
Проектирование объектов архитектурного дизайна 5,28
Проектирование объектов графического дизайна 1,50
Проектирование объектов графического дизайна 2,45
Проектирование объектов графического дизайна 3,46
Проектирование объектов графического дизайна 4,30
Проектирование объектов графического дизайна 5,34
Проектирование программного обеспечения,10
Проектирование промышленных зданий,14
Проектирование сварочной оснастки,2
Проектирование сварочных цехов,1
Проектирование систем дистанционного управления объектами,2
Проектирование строительных конструкций с использованием расчетных комплексов,35
Проектирование технологической оснастки,56
Проектирование транспортных предприятий,96
Производственная практика,44
Производственная практика 1,1413
Производственная практика 2,1227
Производственная практика 3,1096
Производственная практика 4,125
Производственная практика 5,3
Производство электроэнергии,158
Промышленная безопасность,60
Промышленная графика,30
Промышленная электроника,130
Пропорции в машиностроении,1
Протоколы и интерфейсы информационных систем,38
Протоколы и интерфейсы компьютерных систем,263
Протоколы и интерфейсы мобильных приложений,25
Профессиональный английский язык 1,20
Профессиональный английский язык 2,5
Профессиональный английский язык 3,1
Прочностные расчеты конструкторских элементов деталей машин,25
Психология общения и управление конфликтами,116
Психология управления,135
Радиоавтоматика,66
Радиотехнические системы,132
Радиотехнические цепи и сигналы,103
Разработка и сопровождение информационных систем и сервисов,159
Разработка информационных систем,20
Разработка сметно-финансовой документации,35
Разработка технологических процессов и подготовка управляющих программ при изготовлении деталей на станках с числовым программным управлением,93
Расчет и проектирование приборов,43
Реинжиниринг бизнес-процессов и основы коммерциализации,7
Реконструкция и ремонт зданий,199
Релейная защита и автоматизация электроэнергетических систем,129
Решение финансово-хозяйственных проблем транспорта,6
Рисунок 1,88
Рисунок 2,60
Рисунок 3,51
Риторика и культура речи,31
Робототехнические системы,5
"Роботы, манипуляторы, робототехнические системы",22
Роль эксперимента в управлении качеством продукции в промышленности,23
Русский язык,342
Русский язык (A0),2
Русский язык (A1),11
Русский язык (A2),34
Русский язык (B1),130
Русский язык (B2),55
Сварочное производство в машиностроении,36
Сетевое и системное администрирование,41
Сети связи и системы коммуникации,16
Сети связи и системы коммуникаций,25
Система контроля технической документации,4
Система профессиональной безопасности в промышленности,78
Системное программное обеспечение,78
Системный анализ,93
Системы автоматизированного проектирования,125
Системы автоматизированного проектирования в строительстве,149
Системы автоматики и релейной защиты,11
"Системы архитектурного проектирования, формообразования и расчета",37
Системы беспроводной передачи данных,41
Системы искусственного интеллекта,90
Системы качества,22
Системы компьютерной математики,47
Системы поддержки принятия решений,96
Системы управления базами данных,107
Системы управления базами данных и базами знаний,10
Служение обществу,598
Сметное дело,149
Современная история Казахстана,264
Современное оборудование и средства автоматизации процессов производства технологических машин,1
"Современное состояние радиотехники, электроники и телекоммуникаций",2
Современные аспекты развития аккредитации органов по сертификации и испытательных лабораторий,5
Современные аспекты развития метрологии,5
Современные аспекты развития стандартизации и сертификации (по отраслям),7
Современные конструкционные материалы и нанотехнологии,28
Современные криптографические методы защиты информации,6
Современные материалы в дизайне,11
Современные материалы в дизайне (по профилю),11
Современные методы повышения надежности машин,3
Современные методы повышения надежности транспортной техники,3
Современные микроконтроллеры и коммуникационные микропроцессоры,7
Современные планировочные решения при строительстве объектов транспорта,6
Современные проблемы электроэнергетики,6
Современные ресурсосберегающие технологии восстановления деталей транспортной техники,6
Современные системы автоматизированного проектирования,3
Современные системы и средства измерений,4
Современные тенденции развития систем качества,4
"Современные технологии восстановления, упрочнения и обработки деталей машин",32
Современные технологии компьютерной графики,10
Современные технологии машиностроительного производства,17
Современные технологии производства и ремонта транспортной техники и оборудования,3
Современный дизайн,22
Современный дизайн (по профилю),22
Создание и управление информационными ресурсами,22
Создание цифровых двойников машиностроения современными программными средствами,19
Сопротивление материалов,1
Сопротивление материалов и строительная механика,149
Специальные разделы искусственного интеллекта,26
Специальный рисунок,60
Средства измерений геометрических величин,22
Средства измерения теплофизических и температурных величин,19
Средства измерения электрических величин,22
Стандартизация и сертификация,20
Станки и технологическая оснастка в машиностроительном производстве,65
Статистические методы в измерениях,1
Статистические методы управления качеством,21
Статистические методы управления качеством продукции и процессов,22
Статистический анализ,13
Стили и направления в изобразительном искусстве,18
Строительное черчение,42
Строительное черчение и компьютерная графика,190
Строительные материалы,213
Строительные машины и оборудование,206
Структуры данных и разработка программного обеспечения,7
Схемотехника аналоговых электронных устройств,111
Схемы управления электроприводом,152
Теоретическая механика,108
Теоретические основы информационных процессов и систем,18
Теоретические основы электротехники,29
Теоретические основы электротехники 1,139
Теоретические основы электротехники 2,133
Теория алгоритмов,66
Теория вычислительных процессов и структур,7
Теория и практика создания интерактивных приложений,8
Теория и практика шрифта,4
Теория машин и механизмов,15
Теория механизмов и машин,50
Теория моделирования и научного эксперимента,22
Теория назначения допусков и посадок типовых соединений,4
Теория передачи информации,104
Теория производственных процессов,7
Теория процессов сварки и государственные стандарты сварочного производства,1
Теория резания,65
Теория резания и тепловые процессы в технологических системах,1
Теория сварочных процессов,21
Теория электрических цепей,121
Теория электрических цепей 2,101
Теория электрической связи,127
Теплотехника,67
Теплотехника двигателей внутреннего сгорания,19
Тестирование и обеспечение качества программного обеспечения,44
Тестирование программного обеспечения и обеспечение качества,18
Техника высоких напряжений,16
Техническая подготовка производства и основы проектирования механосборочных цехов,28
Технические измерения,457
Технические средства автоматики,124
Технические средства автоматики энергосистем,1
Техническое обслуживание и диагностика транспортной техники,112
Технологии NI в системах сбора данных,30
Технологии графического программирования,5
Технологии приборостроения,36
Технологии формирования профессионального имиджа,186
Технологические процессы машиностроительного производства,1
Технологический аудит и система профессиональной безопасности в промышленности,1
Технология возведения зданий и сооружений,304
Технология возведения специальных сооружений,149
Технология восстановления и ремонт изношенных деталей,58
Технология производства машин,115
Технология создания графических изображений,5
Технология строительного производства 1,36
Технология строительных процессов,198
"Технология, оборудование и специальные виды сварки",2
Типология средового дизайна,36
Транспортная логистика,140
Транспортные предприятия и результативность их работы,74
Управление IT проектами,231
Управление IT-проектами,66
Управление в электроэнергетических системах,140
Управление данными и знаниями в информационных системах,27
Управление качеством машин и технологических процессов,21
Управление компьютерными сетями,1
Управление компьютерными системами,35
Управление разработкой программного обеспечения,2
Управленческие решения на автомобильном транспорте,7
Управленческие решения на транспорте,36
Устройства генерирования и передачи сигналов,91
Устройства приема и обработки сигналов,91
Устройство автомобилей,88
Учебная практика,1476
Физика,574
Физика 1,259
Физика 2,41
Физика 3,28
Физическая культура,3388
Физические методы технического контроля,11
Физические основы измерений в промышленности,20
