student_id,attendance,assignments_completed,participation,LMS_activity,final_grade,success
1,98,85,74,663,86,1
2,88,99,72,195,82,1
3,74,89,98,999,100,1
4,67,53,44,833,91,1
5,80,51,81,584,93,1
6,98,55,78,506,73,1
7,78,91,97,330,64,0
8,82,53,80,848,81,1
9,70,78,67,754,81,1
10,70,67,46,270,73,1
11,83,75,48,640,90,1
12,95,93,47,135,98,1
13,99,83,51,624,98,1
14,83,59,73,259,61,0
15,62,85,72,938,88,1
16,81,63,87,798,51,0
17,61,80,94,342,52,0
18,83,97,62,185,98,1
19,89,64,63,895,86,1
20,97,57,76,677,98,1
21,61,63,74,781,66,0
22,80,72,83,656,98,1
23,92,89,79,673,51,0
24,71,70,61,745,51,0
25,81,65,66,895,77,1
26,84,94,74,127,72,1
27,86,67,40,719,86,1
28,87,96,74,655,81,1
29,75,73,76,439,82,1
30,74,75,86,897,50,0
31,62,74,53,430,68,0
32,96,94,42,739,51,0
33,66,90,40,605,93,1
34,80,78,44,447,75,1
35,68,64,65,572,81,1
36,98,94,94,330,55,0
37,77,50,53,289,81,1
38,63,74,78,324,53,0
39,84,56,66,484,60,0
40,73,58,48,476,66,0
41,68,73,54,382,87,1
42,85,50,54,732,73,1
43,61,93,65,727,54,0
44,79,57,81,844,83,1
45,87,73,99,358,55,0
46,66,60,52,458,71,1
47,67,100,90,809,60,0
48,94,66,71,555,97,1
49,73,57,78,510,65,0
50,76,84,88,748,82,1
